Number_all_years	Number_year	DWARF fluorescence	Where	Label	Date	A254	A300	A350	A365	A400	A465	A600	A665
20210117	117	v2021117	Otava	O1 - Otava - P¡sek	18-jan-21	0.12	0.07	0.03	0.02	0.01	0.00	0.00	0.00
20210118	118	v2021118	Otava	O2 - Blanice	18-jan-21	0.16	0.09	0.04	0.03	0.01	0.01	0.00	0.00
20210119	119	v2021119	Otava	O4 - Peklov	18-jan-21	0.12	0.06	0.03	0.01	0.01	0.00	0.00	0.00
20210120	120	v2021120	Otava	O3 - Voly?ka	18-jan-21	0.09	0.05	0.02	0.01	0.01	0.00	0.00	0.00
20210121	121	v2021121	Otava	O5 - ?ern¡?sk? potok	18-jan-21	0.15	0.07	0.03	0.02	0.01	0.00	0.00	0.00
20210122	122	v2021122	Otava	O6 - Nezdick? potok	18-jan-21	0.09	0.04	0.02	0.01	0.00	0.00	0.00	0.00
20210123	123	v2021123	Otava	O7 - Ostru?n 	18-jan-21	0.08	0.04	0.02	0.01	0.00	0.00	0.00	0.00
20210124	124	v2021124	Otava	O8 - Vol?ovka	18-jan-21	0.05	0.03	0.01	0.01	0.00	0.00	0.00	0.00
20210125	125	v2021125	Otava	O9 - Otava nad Vol?ovkou	18-jan-21	0.10	0.05	0.02	0.02	0.01	0.00	0.00	0.00
20210126	126	v2021126	Otava	O10 - Losenice	18-jan-21	0.07	0.04	0.02	0.01	0.01	0.00	0.00	0.00
20210127	127	v2021127	Otava	O11 - Hamersk? potok	18-jan-21	0.11	0.06	0.03	0.02	0.01	0.00	0.00	0.00
20210128	128	v2021128	Otava	O12 - Vydra	18-jan-21	0.13	0.08	0.04	0.03	0.01	0.01	0.00	0.00
20210129	129	v2021129	Otava	O13 - Voly?ka	18-jan-21	0.07	0.04	0.02	0.01	0.01	0.00	0.00	0.00
20210130	130	v2021130	Otava	O14 - Blanice	18-jan-21	0.12	0.07	0.03	0.02	0.01	0.00	0.00	0.00
20210131	131	v2021131	Otava	kontrola Su 20	18-jan-21	0.03	0.01	0.01	0.00	0.00	0.00	0.00	0.00
20210132	132	v2021132	Karhov	KAR1 - odtok	19-jan-21	0.57	0.32	0.15	0.11	0.06	0.02	0.01	0.00
20210133	133	v2021133	Karhov	KAR4 - bo?n¡ p?¡tok	19-jan-21	0.46	0.27	0.13	0.09	0.05	0.02	0.01	0.00
20210134	134	v2021134	Karhov	KAR29 - Studensk? potok	19-jan-21	0.46	0.25	0.12	0.09	0.05	0.02	0.00	0.00
20211248	1248	v20211248	Karhov	KAR1 - odtok	24-mai-21	0.40	0.21	0.09	0.07	0.03	0.01	0.00	0.00
20211249	1249	v20211249	Karhov	KAR4 - bo?n¡ p?¡tok	24-mai-21	1.06	0.62	0.30	0.23	0.12	0.04	0.00	0.00
20211250	1250	v20211250	Karhov	KAR29 - Studensk? potok	24-mai-21	0.48	0.26	0.12	0.09	0.04	0.01	0.00	0.00
20211251	1251	v20211251	Karhov	?V Studen  - surov 	24-mai-21	0.40	0.22	0.10	0.08	0.04	0.01	0.00	0.00
20211252	1252	v20211252	Karhov	?V Studen  - 1.stupe?	24-mai-21	0.07	0.03	0.01	0.01	0.00	0.00	0.00	0.00
20211253	1253	v20211253	Karhov	?V Studen  - 2. stupe?	24-mai-21	0.08	0.03	0.01	0.01	0.00	0.00	0.00	0.00
20211254	1254	v20211254	Karhov	?V Studen  - upraven 	24-mai-21	0.07	0.03	0.01	0.01	0.00	0.00	0.00	0.00
20211310	1310	v20211310	Otava	O1 - Otava - P¡sek	25-mai-21	0.27	0.15	0.07	0.05	0.03	0.01	0.00	0.00
20211311	1311	v20211311	Otava	O2 - Blanice	25-mai-21	0.29	0.16	0.07	0.05	0.02	0.01	0.00	0.00
20211312	1312	v20211312	Otava	O3 - Voly?ka	25-mai-21	0.17	0.09	0.04	0.03	0.01	0.00	0.00	0.00
20211313	1313	v20211313	Otava	O4 - Peklov	25-mai-21	0.23	0.13	0.05	0.04	0.02	0.00	0.00	0.00
20211314	1314	v20211314	Otava	O5 - ?ern¡?sk? potok	25-mai-21	0.24	0.13	0.05	0.04	0.02	0.00	0.00	0.00
20211315	1315	v20211315	Otava	O6 - Nezdick? potok	25-mai-21	0.20	0.12	0.05	0.03	0.02	0.00	0.00	0.00
20211316	1316	v20211316	Otava	O7 - Ostru?n 	25-mai-21	0.16	0.09	0.03	0.02	0.01	0.00	0.00	0.00
20211317	1317	v20211317	Otava	O8 - Vol?ovka	25-mai-21	0.10	0.05	0.02	0.01	0.00	0.00	0.00	0.00
