Number_all_years	Number_year	DWARF_fluorescence	Where	Label	Date	A254	A300	A350	A365	A400	A465	A600	A665
20210117	117	v2021117	Otava	O1_Otava_P?sek	18.jan.21	0.1171272	0.0657672	0.0271272	0.0216072	0.0116472	0.0032472	0.0019272	0.0002472
20210118	118	v2021118	Otava	O2_Blanice	18.jan.21	0.159624	0.085344	0.035904	0.028824	0.014064	0.005184	0.000984	0.001464
20210119	119	v2021119	Otava	O4_Peklov	18.jan.21	0.118864	0.060664	0.025264	0.014464	0.008664	0	0.002864	0
20210120	120	v2021120	Otava	O3_Voly?ka	18.jan.21	0.09462	0.0501	0.01974	0.01218	0.00666	0.00054	0.00018	0
20210121	121	v2021121	Otava	O5_?ern??sk?_potok	18.jan.21	0.1540176	0.0746976	0.0298176	0.0212976	0.0096576	0.0018576	0	0
20210122	122	v2021122	Otava	O6_Nezdick?_potok	18.jan.21	0.093416	0.043616	0.016616	0.010016	0.001616	0	0	0.000216
20210123	123	v2021123	Otava	O7_Ostru?n?	18.jan.21	0.0779328	0.0401328	0.0156528	0.0118128	0.0048528	0.0014928	0	0
20210124	124	v2021124	Otava	O8_Vol?ovka	18.jan.21	0.0518208	0.0261408	0.0093408	0.0069408	0.0031008	0	0	0
20210125	125	v2021125	Otava	O9_Otava_nad_Vol?ovkou	18.jan.21	0.0981984	0.0539184	0.0235584	0.0182784	0.0091584	0.0020784	0	0.0005184
20210126	126	v2021126	Otava	O10_Losenice	18.jan.21	0.0690048	0.0384048	0.0170448	0.0132048	0.0060048	0.0012048	0.0004848	0
20210127	127	v2021127	Otava	O11_Hamersk?_potok	18.jan.21	0.1062504	0.0601704	0.0314904	0.0215304	0.0116904	0.0026904	0.0001704	0
20210128	128	v2021128	Otava	O12_Vydra	18.jan.21	0.129576	0.077736	0.039816	0.029256	0.013896	0.005256	0	0.000336
20210129	129	v2021129	Otava	O13_Voly?ka	18.jan.21	0.0745416	0.0362616	0.0156216	0.0126216	0.0067416	0.0002616	0	0
20210130	130	v2021130	Otava	O14_Blanice	18.jan.21	0.1219968	0.0658368	0.0292368	0.0213168	0.0109968	0.0029568	0	0
20210131	131	v2021131	Otava	kontrola_Su_20	18.jan.21	0.033852	0.012972	0.005772	0.004212	0.002172	0	1.20E-05	0
20210132	132	v2021132	Karhov	KAR1_odtok	19.jan.21	0.565344	0.318144	0.146664	0.111504	0.060624	0.023184	0.005424	0.001104
20210133	133	v2021133	Karhov	KAR4_bo?n?_p??tok	19.jan.21	0.4638888	0.2651688	0.1265688	0.0932088	0.0519288	0.0210888	0.0054888	0
20210134	134	v2021134	Karhov	KAR29_Studensk?_potok	19.jan.21	0.4593168	0.2537568	0.1163568	0.0864768	0.0469968	0.0173568	0.0042768	0
20211248	1248	v20211248	Karhov	KAR1_odtok	24.mai.21	0.4031352	0.2096952	0.0936552	0.0714552	0.0324552	0.0062952	0	0
20211249	1249	v20211249	Karhov	KAR4_bo?n?_p??tok	24.mai.21	1.0590024	0.6198024	0.2972424	0.2272824	0.1171224	0.0376824	0.0026424	0.0006024
20211250	1250	v20211250	Karhov	KAR29_Studensk?_potok	24.mai.21	0.476844	0.258804	0.116604	0.088404	0.043284	0.011844	0	0
20211251	1251	v20211251	Karhov	?V_Studen?_surov?	24.mai.21	0.4040976	0.2168976	0.0995376	0.0752976	0.0391776	0.0119376	0.0002976	0.0018576
