"sample"	"Number_all_years"	"Number_year"	"Where"	"Label"	"Date"	"A254"	"A300"	"A350"	"A365"	"A400"	"A465"	"A600"	"A665"	"Comp.1"	"Comp.2"	"Comp.3"	"X."	"Em"	"Comp.1.1"	"Comp.2.1"	"Comp.3.1"	"X..1"	"Ex"	"Comp.1.2"	"Comp.2.2"	"Comp.3.2"	"X..2"	"C1_rel"	"C2_rel"	"C3_rel"
"1"	"v20211248"	20211248	1248	"Karhov"	"KAR1_odtok"	"24-mai-21"	0.4031352	0.2096952	0.0936552	0.0714552	0.0324552	0.0062952	0	0	1.74640564749508	1.84213191570172	0.603802909450141	NA	304	0	0	0.920250218135807	NA	270	0.971615095393523	0.672562488515525	0.873569706485319	NA	0.41657056693977	0.439404177146577	0.144025255913653
"2"	"v20211249"	20211249	1249	"Karhov"	"KAR4_bo?n¡_p?¡tok"	"24-mai-21"	1.0590024	0.6198024	0.2972424	0.2272824	0.1171224	0.0376824	0.0026424	0.0006024	4.96729094635806	3.78203397018423	0.676555128028095	NA	305	0	0	0.918494773212328	NA	275	0.875262452498023	0.562510015800922	0.98138786106728	NA	0.526984315827293	0.401239348718723	0.0717763354539837
"3"	"v20211250"	20211250	1250	"Karhov"	"KAR29_Studensk?_potok"	"24-mai-21"	0.476844	0.258804	0.116604	0.088404	0.043284	0.011844	0	0	2.23212322380634	2.11433439558386	0.56321613116334	NA	306	0.00763358840109571	0	0.928165035843608	NA	280	0.74186882170099	0.472259577662136	1	NA	0.454637790047593	0.430646617882803	0.114715592069603
"4"	"v20211251"	20211251	1251	"Karhov"	"?V_Studen _surov "	"24-mai-21"	0.4040976	0.2168976	0.0995376	0.0752976	0.0391776	0.0119376	0.0002976	0.0018576	1.71785841331398	1.80037979816348	0.604941243286699	NA	307	0	0	0.934130476548747	NA	285	0.602991785711248	0.41494120161471	0.907338204219279	NA	0.416634403658824	0.436648420937201	0.146717175403975
"5"	"v20211252"	20211252	1252	"Karhov"	"?V_Studen _1.stupe?"	"24-mai-21"	0.0723632	0.0316032	0.0102032	0.0070032	0.0018632	0	0	0	0.360478539308658	0.630386440264406	0.299860664177437	NA	308	0.0110555847972317	0	0.935373672680837	NA	290	0.482150707747521	0.381399633316232	0.760192964414204	NA	0.279283627046569	0.488396928748291	0.232319444205139
"6"	"v20211253"	20211253	1253	"Karhov"	"?V_Studen _2._stupe?"	"24-mai-21"	0.0761972	0.0340772	0.0116972	0.0080772	0.0028172	0	0	0	0.375093147878638	0.645128159814114	0.262624381069446	NA	309	0.012748839258792	0	0.939282228715132	NA	295	0.38901326188002	0.361263149681083	0.607190007776621	NA	0.292391478698082	0.502888356304639	0.20472016499728
"7"	"v20211254"	20211254	1254	"Karhov"	"?V_Studen _upraven "	"24-mai-21"	0.0734624	0.0328424	0.0107824	0.0071224	0.0025624	0	0	0	0.400523744562821	0.68488220114289	0.248240653828746	NA	310	0.000470763738471988	0	0.954418674224466	NA	300	0.325715147071126	0.353937072198529	0.478538819698585	NA	0.300322247814851	0.513540994579798	0.186136757605351
"8"	"v20211310"	20211310	1310	"Otava"	"O1_Otava_P¡sek"	"25-mai-21"	0.2677296	0.1491696	0.0684096	0.0524496	0.0268896	0.0082896	0	0	1.10782464940248	1.17742896347195	0.424906406491686	NA	311	0.0124391268932315	0	0.926503500365262	NA	305	0.285559264172199	0.357354835565197	0.374143401481333	NA	0.408767246762644	0.434449978989558	0.156782774247798
"9"	"v20211311"	20211311	1311	"Otava"	"O2_Blanice"	"25-mai-21"	0.2943384	0.1587384	0.0674184	0.0508584	0.0239784	0.0071784	0	0.0009384	1.39420035254633	1.65167382236038	0.646986373868446	NA	312	0.00133759191937298	0	0.981536320604097	NA	310	0.260075972034387	0.358222875541945	0.28798401242735	NA	0.37753939910045	0.447261357569596	0.175199243329954
"10"	"v20211312"	20211312	1312	"Otava"	"O3_Voly?ka"	"25-mai-21"	0.1670424	0.0914424	0.0357624	0.0256824	0.0110424	0.0031224	0	0	0.937093931159642	1.12787474638968	0.415718826923462	NA	313	0.00323676100125119	0	0.969966092026446	NA	315	0.243774166378957	0.354874448333493	0.220756499318039	NA	0.377755734839645	0.454662162951228	0.167582102209127
