"sample"	"Comp.1"	"Comp.2"	"Comp.3"	"Number_all_years"	"Number_year"	"Where"	"Label"	"Date"	"A254"	"A300"	"A350"	"A365"	"A400"	"A465"	"A600"	"A665"	"C1_rel"	"C2_rel"	"C3_rel"
"1"	"v2021117"	0.561980422	0.737031045	0.360184322	20210117	117	"Otava"	"O1_Otava_P?sek"	"18.jan.21"	0.1171272	0.0657672	0.0271272	0.0216072	0.0116472	0.0032472	0.0019272	0.0002472	0.338706514159312	0.444209809286106	0.217083676554582
"2"	"v2021118"	0.885531672	1.27169161	0.564644383	20210118	118	"Otava"	"O2_Blanice"	"18.jan.21"	0.159624	0.085344	0.035904	0.028824	0.014064	0.005184	0.000984	0.001464	0.325339722936163	0.467212872378937	0.2074474046849
"3"	"v2021119"	0.854116928	1.238020723	0.404872201	20210119	119	"Otava"	"O4_Peklov"	"18.jan.21"	0.118864	0.060664	0.025264	0.014464	0.008664	0	0.002864	0	0.342055890294501	0.495801296902532	0.162142812802967
"4"	"v2021120"	0.592832119	0.842731204	0.354584814	20210120	120	"Otava"	"O3_Voly?ka"	"18.jan.21"	0.09462	0.0501	0.01974	0.01218	0.00666	0.00054	0.00018	0	0.3311637214524	0.470760596054515	0.198075682493085
"5"	"v2021121"	0.989370429	1.565313343	0.640094895	20210121	121	"Otava"	"O5_?ern??sk?_potok"	"18.jan.21"	0.1540176	0.0746976	0.0298176	0.0212976	0.0096576	0.0018576	0	0	0.309683559371282	0.489959870825693	0.200356569803025
"6"	"v2021122"	0.534187808	0.740157912	0.309404788	20210122	122	"Otava"	"O6_Nezdick?_potok"	"18.jan.21"	0.093416	0.043616	0.016616	0.010016	0.001616	0	0	0.000216	0.337292903965402	0.467345019471969	0.19536207656263
"7"	"v2021123"	0.504203492	0.688733785	0.246348476	20210123	123	"Otava"	"O7_Ostru?n?"	"18.jan.21"	0.0779328	0.0401328	0.0156528	0.0118128	0.0048528	0.0014928	0	0	0.350315071867456	0.478524701272437	0.171160226860107
"8"	"v2021124"	0.296764285	0.40088582	0.18619264	20210124	124	"Otava"	"O8_Vol?ovka"	"18.jan.21"	0.0518208	0.0261408	0.0093408	0.0069408	0.0031008	0	0	0	0.335765934244332	0.453571432551613	0.210662633204055
"9"	"v2021125"	0.386479659	0.324913854	0.110547392	20210125	125	"Otava"	"O9_Otava_nad_Vol?ovkou"	"18.jan.21"	0.0981984	0.0539184	0.0235584	0.0182784	0.0091584	0.0020784	0	0.0005184	0.470203705216496	0.395300747320758	0.134495547462746
"10"	"v2021126"	0.234701413	0.242425633	0.098512766	20210126	126	"Otava"	"O10_Losenice"	"18.jan.21"	0.0690048	0.0384048	0.0170448	0.0132048	0.0060048	0.0012048	0.0004848	0	0.407722690660597	0.421141185766352	0.171136123573051
"11"	"v2021127"	0.366843381	0.30286263	0.091805044	20210127	127	"Otava"	"O11_Hamersk?_potok"	"18.jan.21"	0.1062504	0.0601704	0.0314904	0.0215304	0.0116904	0.0026904	0.0001704	0	0.481730867321421	0.397712716068186	0.120556416610393
